Image,Window,R,G,B
28.jpg,W_Ref,160.4,183.20125000000002,158.05
28.jpg,B_Ref,18.988125,17.828125,14.21125
28.jpg,H_20,87.03875000000001,155.06187500000001,161.07125
28.jpg,H_40,74.469375,156.265625,172.3475
28.jpg,H_60,49.775625,141.339375,163.93875
28.jpg,H_80,30.315625,100.514375,120.045625
29.jpg,W_Ref,160.475,183.385,157.65875
29.jpg,B_Ref,19.73,17.1975,13.951875000000001
29.jpg,H_20,85.55875,155.8125,161.844375
29.jpg,H_40,74.10125000000001,156.484375,172.441875
29.jpg,H_60,50.77125,141.549375,163.0375
29.jpg,H_80,30.494375,99.57375,119.895
30.jpg,W_Ref,160.59,183.6125,157.14000000000001
30.jpg,B_Ref,18.295,18.2425,12.58
30.jpg,H_20,87.409375,154.933125,160.87437500000001
30.jpg,H_40,73.101875,155.96812500000001,172.940625
30.jpg,H_60,49.84875,141.355625,162.54625000000001
30.jpg,H_80,30.462500000000002,100.28125,119.784375
31.jpg,W_Ref,160.82500000000002,182.86,157.73625
31.jpg,B_Ref,18.500625,18.290625000000002,13.01625
31.jpg,H_20,86.0025,155.444375,160.953125
31.jpg,H_40,73.97375,156.46,172.34875
31.jpg,H_60,50.325625,141.48,162.7375
31.jpg,H_80,29.8425,100.8775,119.90125
32.jpg,W_Ref,159.92000000000002,182.9425,156.47
32.jpg,B_Ref,18.46625,18.385,13.53125
32.jpg,H_20,86.25875,154.879375,162.06062500000002
32.jpg,H_40,75.260625,156.299375,172.448125
32.jpg,H_60,49.821875,140.74687500000002,163.745
32.jpg,H_80,30.255625000000002,100.47125,120.25750000000001
33.jpg,W_Ref,160.91625,183.11125,156.79375000000002
33.jpg,B_Ref,18.17875,17.860625,14.67625
33.jpg,H_20,86.47500000000001,155.021875,163.108125
33.jpg,H_40,73.769375,156.098125,173.65562500000001
33.jpg,H_60,49.984375,141.165,164.6675
33.jpg,H_80,30.13375,100.3075,119.71875
34.jpg,W_Ref,160.4375,183.6225,156.64875
