Image,Window,R,G,B
17.jpg,Temp_15,99.15,24.997500000000002,23.035
17.jpg,Temp_20,118.36500000000001,32.8175,30.555
17.jpg,Temp_25,103.7825,26.747500000000002,31.0675
17.jpg,Temp_30,68.325,33.905,31.7275
17.jpg,Temp_35,39.3375,24.035,26.677500000000002
17.jpg,Temp_40,39.14,29.3675,29.330000000000002
17.jpg,Temp_45,33.995,22.07,23.462500000000002
17.jpg,Temp_50,35.4075,19.8875,21.6275
18.jpg,W_Ref,226.15,252.61,230.86
18.jpg,B_Ref,29.41,30.41,24.41
18.jpg,Temp_05,93.57000000000001,25.5075,15.83
18.jpg,Temp_10,106.57000000000001,21.39,20.2025
18.jpg,Temp_15,103.37,25.4575,26.9875
18.jpg,Temp_20,117.8675,34.1775,26.765
18.jpg,Temp_25,103.9325,26.745,29.145
18.jpg,Temp_30,67.545,33.84,31.53
18.jpg,Temp_35,39.3875,24.1175,25.310000000000002
18.jpg,Temp_40,41.14,29.4425,31.075
18.jpg,Temp_45,33.615,22.1125,23.6825
18.jpg,Temp_50,30.39,20.7425,20.335
19.jpg,W_Ref,225.715,253.715,231.715
19.jpg,B_Ref,29.0925,30.0925,24.0925
19.jpg,Temp_05,94.0575,25.765,18.4225
19.jpg,Temp_10,106.73,22.14,20.935
19.jpg,Temp_15,102.045,25.7625,25.51
19.jpg,Temp_20,116.4825,34.2525,28.8475
19.jpg,Temp_25,101.7475,25.2525,27.1825
19.jpg,Temp_30,60.865,32.4425,30.6575
19.jpg,Temp_35,36.472500000000004,24.605,26.0325
19.jpg,Temp_40,42.2025,29.05,31.015
19.jpg,Temp_45,33.28,22.77,23.580000000000002
19.jpg,Temp_50,30.68,20.677500000000002,21.385
20.jpg,W_Ref,224.9325,252.9275,230.9325
20.jpg,B_Ref,29.0225,30.0225,24.0225
20.jpg,Temp_05,94.545,24.73,17.71
20.jpg,Temp_10,103.6875,22.5925,21.0625
20.jpg,Temp_15,100.2175,26.3325,24.892500000000002
20.jpg,Temp_20,115.8175,34.3975,27.4225
20.jpg,Temp_25,99.26,26.39,27.015
20.jpg,Temp_30,61.9525,32.78,29.7825
20.jpg,Temp_35,40.285000000000004,24.52,27.105
20.jpg,Temp_40,39.925000000000004,29.9825,31.0025
20.jpg,Temp_45,33.5675,21.41,27.54
20.jpg,Temp_50,31.2325,20.335,20.9575
21.jpg,W_Ref,225.22,253.22,231.22
21.jpg,B_Ref,27.525000000000002,31.005,24.125
21.jpg,Temp_05,94.08500000000001,25.8775,16.2925
21.jpg,Temp_10,104.79,22.580000000000002,19.7075
21.jpg,Temp_15,100.305,26.1325,24.91
21.jpg,Temp_20,113.8675,34.9375,28.5675
21.jpg,Temp_25,101.8425,25.215,26.95
21.jpg,Temp_30,57.695,32.5125,30.305
21.jpg,Temp_35,39.64,24.4575,25.1825
21.jpg,Temp_40,39.64,29.775000000000002,30.67
21.jpg,Temp_45,33.665,22.355,23.900000000000002
21.jpg,Temp_50,30.6,20.9475,19.69
22.jpg,W_Ref,224.9425,252.9425,230.9425
22.jpg,B_Ref,29.03,30.03,24.03
22.jpg,Temp_05,93.69,24.86,18.935
22.jpg,Temp_10,105.97500000000001,21.18,18.885
22.jpg,Temp_15,100.785,24.9375,25.7525
22.jpg,Temp_20,112.635,34.285000000000004,31.91
22.jpg,Temp_25,99.035,25.805,26.6975
22.jpg,Temp_30,54.935,33.0775,32.68
22.jpg,Temp_35,40.01,24.3775,25.32
22.jpg,Temp_40,39.8025,29.905,30.810000000000002
22.jpg,Temp_45,33.565,22.255,23.775000000000002
22.jpg,Temp_50,31.3125,22.0125,17.9775
23.jpg,W_Ref,224.7475,252.7475,230.7475
23.jpg,B_Ref,28.425,29.425,23.425
23.jpg,Temp_05,93.855,25.6675,18.6525
23.jpg,Temp_10,106.47500000000001,21.185,20.177500000000002
23.jpg,Temp_15,100.545,25.2775,23.62
23.jpg,Temp_20,113.955,33.505,30.1375
23.jpg,Temp_25,99.5925,24.2975,26.0225
23.jpg,Temp_30,53.5125,32.6475,31.5675
23.jpg,Temp_35,39.3125,24.0625,23.235
23.jpg,Temp_40,39.5875,29.59,30.6875
23.jpg,Temp_45,33.815,22.465,24.0325
23.jpg,Temp_50,30.89,21.0325,20.990000000000002
24.jpg,W_Ref,225.055,253.055,231.055
24.jpg,B_Ref,28.642500000000002,29.642500000000002,23.642500000000002
24.jpg,Temp_05,94.685,25.3325,19.96
24.jpg,Temp_10,107.25,20.895,20.5725
24.jpg,Temp_15,100.4675,26.13,24.1925
24.jpg,Temp_20,113.0475,34.8825,31.995
24.jpg,Temp_25,96.775,26.2775,25.765
24.jpg,Temp_30,53.5225,33.32,31.9175
24.jpg,Temp_35,39.615,24.19,26.400000000000002
24.jpg,Temp_40,39.6775,29.7775,30.8425
24.jpg,Temp_45,32.3275,22.2525,23.065
24.jpg,Temp_50,30.8275,21.4225,18.4825
25.jpg,W_Ref,225.10750000000002,253.10750000000002,231.10750000000002
