Fecha,Sensor,R,G,B
20260308,2,159.07711598746081,133.50934169278997,126.76677115987461
20260308,3,144.40806672476037,120.35466201917093,115.96887837669614
20260309,W_Ref,201.18106995884773,200.26886145404663,196.1371742112483
20260309,B_Ref,35.243484224965705,38.243484224965705,46.93621399176955
20260309,1,164.7919382504288,134.64168096054888,130.5548027444254
20260309,2,166.28378259724295,138.3318992009834,133.09676003160945
20260309,3,147.97366820196402,120.42278613018162,118.36047623185887
20260309,W_Ref,203.09499054820415,202.09499054820415,198.0562381852552
20260309,B_Ref,40.68525519848771,42.74810964083176,54.56238185255199
20260309,4,175.40571095571096,144.56526806526807,140.69452214452215
20260309,5,168.25892535160477,135.87197980526506,133.10217574227673
20260309,6,187.92222222222222,175.35721040189125,164.37340425531914
20260311,W_Ref,204.5288279773157,203.66493383742912,199.27551984877127
20260311,B_Ref,59.2703213610586,67.21975425330812,79.44139886578449
20260311,1,162.5455382843984,139.5363270005757,140.16165803108808
20260311,2,163.72231705929215,140.95766473199043,141.55707294867418
20260311,3,149.56016368060165,125.25105065251051,129.00420261004203
20260311,W_Ref,200.6971153846154,199.78772189349112,195.74186390532543
20260311,B_Ref,65.14164201183432,71.14164201183432,83.14164201183432
20260311,4,162.62576687116564,141.1354340955568,142.35768730247258
20260311,5,155.45019956458637,132.1364296081277,135.73249274310595
20260311,6,182.74782759819257,170.6900417101147,163.69351755300661
20260312,W_Ref,204.89,203.9752,199.3336
20260312,B_Ref,48.394,53.4256,67.4904
20260312,1,163.7031355523396,134.34944524843223,133.6168837433671
20260312,2,166.10193027378372,136.82706322631475,134.66476265511128
20260312,3,154.16192664943023,124.62893804462318,125.06128507133965
20260312,W_Ref,193.8544,191.8128,189.9076
20260312,B_Ref,44.612,48.6892,60.2728
20260312,4,150.4562675171547,123.22402628781289,123.62733159369866
20260312,5,153.7229255940787,123.30560966108298,126.48957927541878
20260312,6,188.53841732132594,176.48083924123395,169.28789040045987
20260314,W_Ref,185.67764060356652,184.6807270233196,182.69958847736626
20260314,B_Ref,33.518175582990395,36.84019204389575,43.71467764060357
20260314,1,132.44987565388902,104.61135408627048,104.53211559900524
20260314,2,145.70491374803973,117.41914967764419,118.34857989196723
20260314,3,142.795777055907,112.92460249615318,116.4069071636177
20260314,W_Ref,186.23583333333335,182.25611111111112,179.21666666666667
20260314,B_Ref,31.00583333333333,33.964166666666664,40.73444444444444
20260314,4,133.91476695222883,106.88572673152316,103.81922462610716
20260314,5,139.58507095279467,109.35556038227628,108.79011004923254
20260314,6,179.77373965919537,166.6591246553065,157.69476065898323
20260316,W_Ref,185.8475029726516,181.87247324613554,178.8641498216409
20260316,B_Ref,32.929548156956,33.29250891795481,41.09661117717003
20260316,1,128.27035352794482,97.55009534986064,96.42995452545107
20260316,2,141.8349543843776,109.87627233657543,109.19241498906733
20260316,3,137.24670777194183,104.35510390500114,106.35495166324122
20260316,W_Ref,190.39795918367346,187.4158163265306,184.0765306122449
20260316,B_Ref,35.72799744897959,38.558673469387756,44.767219387755105
20260316,4,141.1575485052877,110.63527354484137,108.61295694895495
20260316,5,143.63552335748187,110.58531101673744,110.47780831043383
20260316,6,182.64172969417956,169.12454784610327,160.50065767839527
20260318,W_Ref,189.69387755102042,188.00892857142858,184.2107780612245
20260318,B_Ref,29.364795918367346,32.723214285714285,39.42538265306123
20260318,1,131.0843413421707,99.60836785418392,97.63943661971831
20260318,2,147.44853737811482,114.14009500791732,112.39678306525543
20260318,3,142.46125730994152,109.27875243664717,110.84868421052632
20260318,W_Ref,182.7526753864447,178.7348394768133,175.7514863258026
20260318,B_Ref,30.52883472057075,31.316587395957193,38.94827586206897
20260318,4,129.64953689871527,100.69263519569763,97.78047505228562
20260318,5,138.16722331865796,105.28343707302261,105.61628966145437
20260318,6,179.56840366421383,165.71805075837213,157.9687640786905
20260320,W_Ref,189.21175858480748,185.29500520291364,182.23673257023933
20260320,B_Ref,34.74791883454735,37.75624349635796,44.29838709677419
20260320,1,118.61473948358977,93.05137687380308,93.82242620352638
20260320,2,133.34655941597944,103.13836690550224,106.51669595782074
20260320,3,130.14494336017472,98.57213047632047,102.906100723352
20260320,W_Ref,186.92524005486968,183.03703703703704,180.37722908093278
20260320,B_Ref,43.268175582990395,46.794238683127574,55.80932784636488
